Color;Comment;Document group;Document name;Code;Beginning;End;Weight score;Segment;Modified by;Modified;Created by;Created;Area;Coverage %
●;;;conversation_29_annotatable;Acknowledge response (user);48;49;0;"Thank you
[conversation_id=7460a2a0] [conversation.id=-NKgsxKrd53KEDCxivjI] [conversation.participant=user]";Anna_;27.07.25 19:58:01;Anna_;27.07.25 19:58:01;107;0,78
●;;;conversation_29_annotatable;Acknowledge response (user);63;64;0;"ok thank you
[conversation_id=7460a2a0] [conversation.id=-NKgtg_VfEQd0QOhksWs] [conversation.participant=user]";Anna_;25.07.25 19:42:17;Anna_;25.07.25 19:42:17;110;0,81
●;;;conversation_29_annotatable;Acknowledge response (user);87;88;0;"ok
[conversation_id=7460a2a0] [conversation.id=-NKgxpJeHx7K2320OBoP] [conversation.participant=user]";Anna_;25.07.25 19:42:29;Anna_;25.07.25 19:42:29;100;0,73
●;;;conversation_28_annotatable;Acknowledge response (user);45;46;0;"Ah I see.  I guess I'm not used to brining the chicken with the spices on it.
[conversation_id=68942e2a] [conversation.id=-NKcvFxYSJ28lPrdaZtm] [conversation.participant=user]";Anna_;25.07.25 19:37:25;Anna_;25.07.25 19:37:25;175;1,44
●;;;conversation_28_annotatable;Acknowledge response (user);97;98;0;"Ok thanks. That's a great picture. It gives me a good idea of what it should look like.
[conversation_id=68942e2a] [conversation.id=-NKcy8l2iN8KYJldjKRN] [conversation.participant=user]";Anna_;27.07.25 19:55:17;Anna_;25.07.25 19:40:14;185;1,52
●;;;conversation_28_annotatable;Acknowledge response (user);126;127;0;"ok thanks. This was great.
[conversation_id=68942e2a] [conversation.id=-NKczsbxCu1vgv3-aRFw] [conversation.participant=user]";Anna_;25.07.25 19:40:52;Anna_;25.07.25 19:40:52;124;1,02
●;;;conversation_28_annotatable;Acknowledge response (user);130;131;0;"ok thanks
[conversation_id=68942e2a] [conversation.id=-NKd-8a7z7dAuFtC0IEB] [conversation.participant=user]";Anna_;25.07.25 19:41:22;Anna_;25.07.25 19:41:22;107;0,88
●;;;conversation_27_annotatable;Acknowledge response (user);19;20;0;"ok
[conversation_id=2b71cb60] [conversation.id=-NKcdUxw7hw-W8tILk31] [conversation.participant=user]";Anna_;25.07.25 19:35:16;Anna_;25.07.25 19:35:16;100;1,40
●;;;conversation_27_annotatable;Acknowledge response (user);25;26;0;"ok i have regular olive oil so will use that. i might put some walnuts in as well as the pine nuts
[conversation_id=2b71cb60] [conversation.id=-NKce02Gt07Jw25Q8Jqz] [conversation.participant=user]";Anna_;25.07.25 19:35:21;Anna_;25.07.25 19:35:21;196;2,75
●;;;conversation_27_annotatable;Acknowledge response (user);37;38;0;"i usually use a blender instead of a pestle and mortar
[conversation_id=2b71cb60] [conversation.id=-NKceZdOLp46-GrQrL-E] [conversation.participant=user]";Anna_;27.07.25 19:52:47;Anna_;27.07.25 19:52:47;152;2,13
●;Positive politeness;;conversation_27_annotatable;Acknowledge response (user);84;85;0;"ok ive not done that before. useful tip thanks
[conversation_id=2b71cb60] [conversation.id=-NKcfZEgm4RWMTI1w6dm] [conversation.participant=user]";Anna_;25.07.25 19:36:41;Anna_;25.07.25 19:36:33;144;2,02
●;;;conversation_26_annotatable;Acknowledge response (user);15;16;0;"Okay
[conversation_id=pC0jYVl] [conversation.id=-NKIweCqjwyFkDNZUiyF] [conversation.participant=user]";Anna_;25.07.25 19:34:14;Anna_;25.07.25 19:34:14;101;1,52
●;;;conversation_26_annotatable;Acknowledge response (user);27;28;0;"okay
[conversation_id=pC0jYVl] [conversation.id=-NKIyAf-lprAIU6af0qX] [conversation.participant=user]";Anna_;25.07.25 19:34:21;Anna_;25.07.25 19:34:21;101;1,52
●;Acknowledgement praise;;conversation_26_annotatable;Acknowledge response (user);70;71;0;"Okay
[conversation_id=pC0jYVl] [conversation.id=-NKJ1JB9u9VooptaDIMA] [conversation.participant=user]";Anna_;27.07.25 19:51:09;Anna_;27.07.25 19:50:50;101;1,52
●;Positive politeness;;conversation_25_annotatable;Acknowledge response (user);15;16;0;"Ok interesting. What is the origins of pesto alla genovese?
[conversation_id=sVzhG] [conversation.id=-NJir_E5mHbO56lI_-7y] [conversation.participant=user]";Anna_;25.07.25 19:33:35;Anna_;25.07.25 19:33:15;154;1,54
●;;;conversation_25_annotatable;Acknowledge response (user);63;64;0;"Interesting. So what is the next step in the recipe?
[conversation_id=sVzhG] [conversation.id=-NJitpcOrKtgFXKcPNjj] [conversation.participant=user]";Anna_;27.07.25 19:46:26;Anna_;27.07.25 19:46:26;147;1,47
●;;;conversation_25_annotatable;Acknowledge response (user);85;86;0;"Thank you. What are the next steps to complete process?
[conversation_id=sVzhG] [conversation.id=-NJivm4zkGXikDVclllk] [conversation.participant=user]";Anna_;27.07.25 19:46:51;Anna_;27.07.25 19:46:51;150;1,50
●;;;conversation_25_annotatable;Acknowledge response (user);89;90;0;"Thanks.
[conversation_id=sVzhG] [conversation.id=-NJivyb7z1tT3dGvi5x8] [conversation.participant=user]";Anna_;27.07.25 19:46:57;Anna_;27.07.25 19:46:57;102;1,02
●;;;conversation_24_annotatable;Acknowledge response (user);26;27;0;"Ah ok, I was just seeing if there are any vegan options
[conversation_id=nRHLDUQ] [conversation.id=-NH4pmc2YijV2aJTUdr8] [conversation.participant=user]";Anna_;25.07.25 19:32:07;Anna_;25.07.25 19:32:07;152;1,55
●;;;conversation_19_annotatable;Acknowledge response (user);21;22;0;"That makes sense, I've got a wooden spoon so we're ready to go! What do I have to do first?
[conversation_id=PPmiUbC] [conversation.id=-NGWxWvRNvOuirIlG_nt] [conversation.participant=user]";Anna_;25.07.25 19:22:24;Anna_;25.07.25 19:22:24;188;1,74
●;;;conversation_19_annotatable;Acknowledge response (user);30;31;0;"I thought it looked familiar. I've had Italian gnocchi before, what is the difference between them  and the Parisian version?
[conversation_id=PPmiUbC] [conversation.id=-NGWyEIq0jR0I8RHwfwH] [conversation.participant=user]";Anna_;25.07.25 19:22:37;Anna_;25.07.25 19:22:37;222;2,06
●;;;conversation_19_annotatable;Acknowledge response (user);36;37;0;"That's interesting, I didn't know there were so many versions. Is there a video showing how to mix the dough?
[conversation_id=PPmiUbC] [conversation.id=-NGWz5aeroBqe5q5qF70] [conversation.participant=user]";Anna_;27.07.25 19:29:01;Anna_;27.07.25 19:29:01;206;1,91
●;;;conversation_19_annotatable;Acknowledge response (user);59;60;0;"I will, I have that in stock too. Next step please.
[conversation_id=PPmiUbC] [conversation.id=-NGX-PISgf6qQmjZPMJC] [conversation.participant=user]";Anna_;25.07.25 19:23:31;Anna_;25.07.25 19:23:31;148;1,37
●;;;conversation_19_annotatable;Acknowledge response (user);72;73;0;"Interesting! Food history is really fascinating. Do you have any suggestions for further reading?
[conversation_id=PPmiUbC] [conversation.id=-NGX1HnnCmjkUlYZlkBU] [conversation.participant=user]";Anna_;27.07.25 19:29:42;Anna_;27.07.25 19:29:42;194;1,80
●;;;conversation_19_annotatable;Acknowledge response (user);76;77;0;"Thanks, i'll check them out later! Next step please
[conversation_id=PPmiUbC] [conversation.id=-NGX1kLv5r1qEPbn827F] [conversation.participant=user]";Anna_;27.07.25 19:29:48;Anna_;27.07.25 19:29:48;148;1,37
●;;;conversation_19_annotatable;Acknowledge response (user);87;88;0;"OK, I understand now, I suppose it stops the pan getting too crowded too. Are there any videos for this recipe?
[conversation_id=PPmiUbC] [conversation.id=-NGX2a7LXeNQYxfeLy2y] [conversation.participant=user]";Anna_;25.07.25 19:24:15;Anna_;25.07.25 19:24:15;208;1,93
●;;;conversation_19_annotatable;Acknowledge response (user);103;104;0;"OK, thanks, i've enjoyed it!
[conversation_id=PPmiUbC] [conversation.id=-NGX3gIDSjlK_F4pThvU] [conversation.participant=user]";Anna_;25.07.25 19:25:36;Anna_;25.07.25 19:25:36;125;1,16
●;;;conversation_18_annotatable;Acknowledge response (user);29;30;0;"ok thanks.
[conversation_id=LFiNVaQ] [conversation.id=-NGLhKGed79rhaIEOdnr] [conversation.participant=user]";Anna_;25.07.25 19:17:16;Anna_;25.07.25 19:17:16;107;1,12
●;Accepting agent offer;;conversation_18_annotatable;Acknowledge response (user);45;46;0;"let's process to the first step yes
[conversation_id=LFiNVaQ] [conversation.id=-NGLjOg6OU1MV2Okb4xI] [conversation.participant=user]";Anna_;01.08.25 16:21:04;Anna_;01.08.25 16:20:55;132;1,38
●;;;conversation_18_annotatable;Acknowledge response (user);92;93;0;"ok thank you
[conversation_id=LFiNVaQ] [conversation.id=-NGLlVKRmsUTyVCiiy9R] [conversation.participant=user]";Anna_;25.07.25 19:18:22;Anna_;25.07.25 19:18:22;109;1,14
●;;;conversation_15_annotatable;Acknowledge response (user);16;17;0;"Thank you!
[conversation_id=608b0f7f4699c09aa348c57f] [conversation.id=-N8YIk8HRcMiIuIP0LMK] [conversation.participant=user]";Anna_;27.07.25 19:22:26;Anna_;27.07.25 19:22:26;124;0,93
●;;;conversation_14_annotatable;Acknowledge response (user);24;25;0;"Basil from Liguria is really good - I have tried it!
[conversation_id=61489eae028bc2392c90af21] [conversation.id=-NAEZ2hN60MHTMiEVKrp] [conversation.participant=user]";Anna_;27.07.25 19:21:53;Anna_;27.07.25 19:21:53;166;2,88
●;Positive politeness;;conversation_14_annotatable;Acknowledge response (user);35;36;0;"That's good to know - sometimes it's hard to find specific types of cheese like Fiore Sardo. And they're expensive!
[conversation_id=61489eae028bc2392c90af21] [conversation.id=-NAEZiWuRNX6470tz1B-] [conversation.participant=user]";Anna_;25.07.25 19:05:24;Anna_;25.07.25 19:05:17;229;3,98
●;;;conversation_13_annotatable;Acknowledge response (user);20;21;0;"ok
[conversation_id=60c48655811ab33a8f77dd34] [conversation.id=-N9kDEYbkHarSQORdLRq] [conversation.participant=user]";Anna_;24.07.25 17:21:27;Anna_;24.07.25 17:21:27;116;0,90
●;;;conversation_13_annotatable;Acknowledge response (user);51;52;0;"ok thank you
[conversation_id=60c48655811ab33a8f77dd34] [conversation.id=-N9kF8oFdd2FE1na4eM1] [conversation.participant=user]";Anna_;24.07.25 17:22:04;Anna_;24.07.25 17:22:04;126;0,98
●;;;conversation_13_annotatable;Acknowledge response (user);64;65;0;"ok thank you
[conversation_id=60c48655811ab33a8f77dd34] [conversation.id=-N9kFVetHe5hfygNBLuS] [conversation.participant=user]";Anna_;24.07.25 17:22:16;Anna_;24.07.25 17:22:16;126;0,98
●;;;conversation_13_annotatable;Acknowledge response (user);68;69;0;"thank you
[conversation_id=60c48655811ab33a8f77dd34] [conversation.id=-N9kFga5UOA8uyk0Etfd] [conversation.participant=user]";Anna_;27.07.25 19:20:54;Anna_;27.07.25 19:20:54;123;0,95
●;;;conversation_13_annotatable;Acknowledge response (user);81;82;0;"thank you
[conversation_id=60c48655811ab33a8f77dd34] [conversation.id=-N9kFx-lz1PeB2bBrp0D] [conversation.participant=user]";Anna_;27.07.25 19:21:02;Anna_;27.07.25 19:21:02;123;0,95
●;;;conversation_13_annotatable;Acknowledge response (user);85;86;0;"ok thank you
[conversation_id=60c48655811ab33a8f77dd34] [conversation.id=-N9kG1DJoerQI7dk9-8Q] [conversation.participant=user]";Anna_;24.07.25 17:22:37;Anna_;24.07.25 17:22:37;126;0,98
●;;;conversation_13_annotatable;Acknowledge response (user);97;98;0;"ok has this been set aside or mixed with the pesto already?
[conversation_id=60c48655811ab33a8f77dd34] [conversation.id=-N9kGOHVfikE_2Hcmuc3] [conversation.participant=user]";Anna_;24.07.25 17:22:53;Anna_;24.07.25 17:22:53;173;1,34
●;;;conversation_13_annotatable;Acknowledge response (user);101;102;0;"ok looks good thank you
[conversation_id=60c48655811ab33a8f77dd34] [conversation.id=-N9kGQGBs5UMQ7SkHauM] [conversation.participant=user]";Anna_;24.07.25 17:23:15;Anna_;24.07.25 17:23:15;137;1,06
●;;;conversation_13_annotatable;Acknowledge response (user);110;111;0;"ok thank you
[conversation_id=60c48655811ab33a8f77dd34] [conversation.id=-N9kGUl25ck6wybbrNV4] [conversation.participant=user]";Anna_;24.07.25 17:23:24;Anna_;24.07.25 17:23:24;126;0,98
●;;;conversation_13_annotatable;Acknowledge response (user);121;122;0;"ok thank you that is very interesting to know
[conversation_id=60c48655811ab33a8f77dd34] [conversation.id=-N9kH6zpTWaxcZI9XFZK] [conversation.participant=user]";Anna_;24.07.25 17:23:46;Anna_;24.07.25 17:23:46;159;1,23
●;;;conversation_12_annotatable;Acknowledge response (user);18;19;0;"okay, how much butter shall i put into the saucepan?
[conversation_id=5f36cd2444884c0f7ff186f6] [conversation.id=-N9W5WghDk62w-UpSEkw] [conversation.participant=user]";Anna_;24.07.25 17:19:56;Anna_;24.07.25 17:19:56;166;1,49
●;;;conversation_12_annotatable;Acknowledge response (user);66;67;0;"okay
[conversation_id=5f36cd2444884c0f7ff186f6] [conversation.id=-N9W8XdMxZDP7aCQQ0wa] [conversation.participant=user]";Anna_;24.07.25 17:20:17;Anna_;24.07.25 17:20:17;118;1,06
●;;;conversation_12_annotatable;Acknowledge response (user);122;123;0;"okay, do you have a picture i can see?
[conversation_id=5f36cd2444884c0f7ff186f6] [conversation.id=-N9WAKOTRKYJK5lVpIZT] [conversation.participant=user]";Anna_;24.07.25 17:20:42;Anna_;24.07.25 17:20:42;152;1,37
●;Acknowledgement compliment;;conversation_12_annotatable;Acknowledge response (user);132;133;0;"okay
[conversation_id=5f36cd2444884c0f7ff186f6] [conversation.id=-N9WAfOV3ME5fzmISceN] [conversation.participant=user]";Anna_;27.07.25 19:19:51;Anna_;27.07.25 19:19:43;118;1,06
●;;;conversation_8_annotatable;Acknowledge response (user);15;16;0;"very interesting history. would never have thought it had roots in the Scottish. Always perceived seasoned buttermilk chicken to be linked to Africans and African Americans
[conversation_id=5ced03998f09450015fa845d] [conversation.id=-NAJv5sZgu1vD5BJO3EB] [conversation.participant=user]";Anna_;27.07.25 19:12:42;Anna_;24.07.25 17:11:12;286;2,25
●;;;conversation_8_annotatable;Acknowledge response (user);37;38;0;"interesting fact about brining. i didn't know that's how it works scientifically.
[conversation_id=5ced03998f09450015fa845d] [conversation.id=-NAJwDQmkcd1TPSKVfo4] [conversation.participant=user]";Anna_;27.07.25 19:13:05;Anna_;24.07.25 17:11:34;195;1,53
●;;;conversation_8_annotatable;Acknowledge response (user);61;62;0;"now this is an interesting step! why would be fry and then put it in the oven? what is the science and thought-process behind this technique
[conversation_id=5ced03998f09450015fa845d] [conversation.id=-NAJyTpng_qaFCLjR8c7] [conversation.participant=user]";Anna_;27.07.25 19:13:30;Anna_;24.07.25 17:12:31;254;2,00
●;;;conversation_6_annotatable;Acknowledge response (user);27;28;0;"Ah, I see!
[conversation_id=5c8d1bee1bb19f00019d519e] [conversation.id=-N4YT-rJ2021bvkVNFgz] [conversation.participant=user]";Anna_;24.07.25 17:06:17;Anna_;24.07.25 17:06:17;124;1,05
●;;;conversation_6_annotatable;Acknowledge response (user);128;129;0;"Thank you! I'll keep that in mind when attempting to make sauce in the future.
[conversation_id=5c8d1bee1bb19f00019d519e] [conversation.id=-N4YWvqeFEuWCe5uB5Sh] [conversation.participant=user]";Anna_;27.07.25 19:10:39;Anna_;27.07.25 19:10:39;192;1,63
●;;;conversation_5_annotatable;Acknowledge response (user);44;45;0;"Okay thank you
[conversation_id=mmhHDA6eue] [conversation.id=-NBGqWTSsaLhzBh5B9DR] [conversation.participant=user]";Anna_;24.07.25 17:05:38;Anna_;24.07.25 17:05:38;114;1,86
●;;;conversation_4_annotatable;Acknowledge response (user);16;17;0;"ok, next step please
[conversation_id=coe2XtNapn] [conversation.id=-NBX8VXWiKi7WOfSPpFT] [conversation.participant=user]";Anna_;24.07.25 17:01:11;Anna_;24.07.25 17:01:11;120;1,17
●;;;conversation_4_annotatable;Acknowledge response (user);58;59;0;"That makes sense! Is Step five the final step in the recipe?
[conversation_id=coe2XtNapn] [conversation.id=-NBXAOGoml_5yH-zk6Sr] [conversation.participant=user]";Anna_;24.07.25 17:01:48;Anna_;24.07.25 17:01:48;160;1,56
●;;;conversation_4_annotatable;Acknowledge response (user);96;97;0;"Hmm interesting. I never knew there was so many variations of the traditional recipe. I suppose the different ingredients were also based on what grows in those regions?
[conversation_id=coe2XtNapn] [conversation.id=-NBXDU-zaFZt0tyY5dgm] [conversation.participant=user]";Anna_;27.07.25 19:06:18;Anna_;24.07.25 17:04:20;269;2,62
